Sl. No.,Name of the Prison,Under Trail Prisoners ,Convict Prisoners,Total
1,"Central Prison, Bengaluru",4280,1129,5409
2,"Open Prison, Devanahalli",0,48,48
3,"District Prison, Ramanagara",303,1,304
4,"District Prison, Kolar",148,2,150
5,"Taluka  Prison, K.G.F.",79,0,79
6,"District Prison, Tumakuru",427,6,433
7,"Taluka  Prison, Tiptur",0,0,0
8,"District Prison, Chikkaballapura",228,1,229
9,"Taluka  Prison, Chinthamani",76,0,76
10,"Central Prison, Mysuru",456,439,895
11,"Taluka  Prison, K.R. Nagar",76,0,76
12,"Taluka  Prison, Nanjangud",41,0,41
13,"District Prison, Chamarajnagar",157,2,159
14,"District Prison, Mandya",355,1,356
15,"District Prison, Hassan",320,3,323
16,"Taluka  Prison, Sakaleshpur",55,0,55
17,"District Prison, Madikeri",204,3,207
18,"Central Prison, Shivamogga",315,374,689
19,"Women Central Prison, Shivamogga",39,33,72
20,"Taluka  Prison, Sagara",19,0,19
21,"District Prison, Mangaluru",369,7,376
22,"District Prison, Chikkamagaluru",247,3,250
23,"District Prison, Udupi",134,3,137
24,"District Prison, Davangere ",238,8,246
25,"District Prison, Chitradurga",208,2,210
26,"Central Prison, Belagavi",462,446,908
27,"Taluka  Prison, Gokak",79,1,80
28,"Taluka  Prison, Bailahongala",23,0,23
29,"District Prison, Karwar",121,1,122
30,"Taluka Prison, Haliyala",19,1,20
31,"CENTRAL PRISON, DHARWAD",317,267,584
32,"Taluka Prison, Hubballi",116,0,116
33,"District Prison, Haveri",139,7,146
34,"District Prison, Gadag",142,5,147
35,"CENTRAL PRISON, VIJAYAPURA",332,246,578
36,"District Prison, Bagalkote",142,5,147
37,"Taluka Prison, Jamkhandi",79,1,80
38,"CENTRAL PRISON, KALABURGI",620,345,965
39,"District Prison, Yadgiri",110,0,110
40,"Taluka Prison, Shorapur",42,1,43
41,"District Prison, Bidar",172,1,173
42,"Taluka Prison, Aurad",15,0,15
43,"Taluka Prison, Humnabad",118,1,119
44,"CENTRAL PRISON, BALLARI",279,256,535
45,"Taluka Prison, Hosapete",63,0,63
46,"Taluka Prison, Hadagali",24,0,24
47,"Taluka Prison, Harappanahalli",79,0,79
48,"District Prison, Raichur",190,29,219
49,"Taluka Prison, Devadurga",5,0,5
50,"Taluka Prison, Lingasugur",20,1,21
51,"District Prison, Koppal",200,8,208
52,"Revenue  Prison, Sirsi",11,0,11
53,"Revenue  Prison, Sedam",71,0,71
54,"Revenue  Prison, Madhugiri",56,0,56
Total,NA,12820,3687,16507
,,,,
